,preflop_action,board_flop,board_turn,board_river,aggressor_position,postflop_action,evaluation_at,available_moves,pot_size,hero_position,holding,correct_decision
15,UTG/2.0bb/BB/call,TsKcAh,Jc,Jh,OOP,OOP_BET_3/IP_CALL/dealcards/Jc/OOP_BET_13/IP_RAISE_37,Turn,"['Fold', 'Call', 'Raise 95']",60,OOP,Qh4h,Call
16,SB/3.0bb/BB/call,Ks7h2d,Jc,7c,OOP,OOP_CHECK/IP_CHECK/dealcards/Jc/OOP_BET_5/IP_RAISE_16/OOP_CALL/dealcards/7c/OOP_CHECK,River,"['Check', 'Bet 29']",38,IP,Jd9h,Check
17,SB/3.0bb/BB/call,AcKs7d,Kd,Ah,OOP,OOP_CHECK/IP_CHECK/dealcards/Kd/OOP_CHECK/IP_BET_5/OOP_RAISE_16/IP_CALL/dealcards/Ah/OOP_CHECK,River,"['Check', 'Bet 29']",38,IP,Js7s,Bet 29
18,HJ/2.0bb/CO/6.5bb/HJ/call,Ks7h2d,Jc,Qc,IP,OOP_CHECK/IP_BET_3/OOP_RAISE_10/IP_CALL/dealcards/Jc/OOP_BET_20,Turn,"['Fold', 'Call', 'Raise 44', 'Raise 83']",54,IP,AdJd,Raise 44
19,BTN/2.5bb/BB/call,Th3s2d,5d,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/5d/OOP_BET_6/IP_CALL/dealcards/3c/OOP_CHECK,River,"['Check', 'Bet 13']",17,IP,QsQh,Check
20,CO/2.3bb/BB/call,Th3s2d,Ac,Qc,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Ac/OOP_CHECK,Turn,"['Check', 'Bet 10', 'Bet 16']",13,IP,Qs8s,Check
21,BTN/2.5bb/BB/call,JcJh4s,4d,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/4d/OOP_CHECK/IP_BET_6/OOP_RAISE_17/IP_CALL/dealcards/3c/OOP_CHECK/IP_BET_29/OOP_RAISE_80,River,"['Fold', 'Call']",148,IP,Jd9s,Call
22,CO/2.3bb/BB/call,TsKcAh,2d,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/2d/OOP_BET_6/IP_RAISE_17/OOP_CALL/dealcards/3c/OOP_CHECK,River,"['Check', 'Bet 29']",39,IP,Ac6c,Check
23,HJ/2.0bb/BTN/call,Th3s2d,Ac,Qc,OOP,OOP_CHECK/IP_CHECK/dealcards/Ac/OOP_BET_4/IP_CALL/dealcards/Qc/OOP_BET_7,River,"['Fold', 'Call', 'Raise 25']",20,IP,JsJd,Call
24,CO/2.3bb/BB/call,6s8d7c,Js,2s,OOP,OOP_CHECK/IP_BET_2/OOP_RAISE_8,Flop,"['Fold', 'Call', 'Raise 22']",15,IP,7s7d,Call
25,BTN/2.5bb/BB/call,Js8d3c,9d,2h,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/9d/OOP_CHECK/IP_BET_7/OOP_CALL/dealcards/2h/OOP_BET_12,River,"['Fold', 'Call', 'Raise 43']",33,IP,AsAd,Call
26,HJ/2.0bb/SB/11.0bb/HJ/call,JsKs5d,8h,3c,IP,OOP_CHECK,Flop,"['Check', 'Bet 5', 'Bet 12']",23,IP,ThTc,Check
27,BTN/2.5bb/BB/call,Td6h4h,Kh,2h,OOP,OOP_CHECK/IP_BET_4/OOP_RAISE_13/IP_CALL/dealcards/Kh/OOP_CHECK,Turn,"['Check', 'Bet 23', 'Bet 39']",31,IP,Ac6d,Check
28,HJ/2.0bb/BB/call,9dTs8s,5d,2d,OOP,OOP_CHECK/IP_CHECK/dealcards/5d/OOP_CHECK/IP_BET_3/OOP_RAISE_10/IP_CALL/dealcards/2d/OOP_CHECK,River,"['Check', 'Bet 18']",24,IP,KcTh,Check
29,SB/3.0bb/BB/call,JcJh4s,Ts,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/Ts/OOP_CHECK/IP_BET_8/OOP_RAISE_23/IP_CALL/dealcards/8c/OOP_BET_26/IP_RAISE_74,River,"['Fold', 'Call']",152,OOP,Qh9s,Call
30,CO/2.3bb/BB/call,9s7s4c,Ah,Ts,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Ah/OOP_CHECK/IP_BET_10/OOP_RAISE_32,Turn,"['Fold', 'Call', 'Raise 93']",55,IP,AdJc,Call
31,UTG/2.0bb/BB/call,Ad9h8h,3s,2h,OOP,OOP_CHECK/IP_CHECK/dealcards/3s/OOP_CHECK/IP_BET_5/OOP_RAISE_14/IP_CALL/dealcards/2h/OOP_BET_16/IP_RAISE_58,River,"['Fold', 'Call', 'Raise 84']",106,OOP,Ah6h,Raise 84
32,UTG/2.0bb/BTN/call,Td6h4h,Kh,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_CHECK/IP_BET_4/OOP_RAISE_13/IP_CALL/dealcards/8c/OOP_CHECK/IP_BET_23,River,"['Fold', 'Call', 'Raise 85']",54,OOP,8h8d,Call
33,HJ/2.0bb/BB/call,5c5dAh,3h,2c,OOP,OOP_CHECK/IP_CHECK/dealcards/3h/OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/2c/OOP_CHECK/IP_BET_8,River,"['Fold', 'Call', 'Raise 25']",18,OOP,6d4d,Raise 25
34,BTN/2.5bb/BB/call,Ks7h2d,Jc,Qc,OOP,OOP_CHECK/IP_CHECK/dealcards/Jc/OOP_CHECK/IP_BET_6/OOP_CALL/dealcards/Qc/OOP_CHECK,River,"['Check', 'Bet 13']",17,IP,9d7d,Check
35,CO/2.3bb/BB/call,Th3s2d,5d,Ks,OOP,OOP_CHECK/IP_CHECK/dealcards/5d/OOP_BET_4/IP_CALL/dealcards/Ks/OOP_BET_7,River,"['Fold', 'Call', 'Raise 25']",20,IP,KcQd,Call
36,CO/2.3bb/BTN/call,Ad9h8h,2h,5c,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/2h/OOP_CHECK/IP_BET_12,Turn,"['Fold', 'Call', 'Raise 38']",28,OOP,Kd9d,Fold
37,CO/2.3bb/BB/call,Jh4h5s,Kh,6h,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Kh/OOP_CHECK/IP_BET_16/OOP_CALL/dealcards/6h/OOP_CHECK/IP_BET_34/OOP_RAISE_77,River,"['Fold', 'Call']",152,IP,Kc3c,Fold
38,UTG/2.0bb/BB/call,Ad9h8h,3s,2h,OOP,OOP_CHECK/IP_CHECK/dealcards/3s/OOP_BET_3/IP_RAISE_10/OOP_CALL/dealcards/2h/OOP_CHECK,River,"['Check', 'Bet 18']",24,IP,AhTs,Bet 18
39,UTG/2.0bb/SB/10.0bb/UTG/call,TsKcAh,2d,3c,OOP,OOP_CHECK/IP_BET_4/OOP_RAISE_14/IP_CALL/dealcards/2d/OOP_CHECK,Turn,"['Check', 'Bet 29', 'Raise 76']",49,IP,KdQd,Check
40,HJ/2.0bb/CO/6.5bb/HJ/call,Th3s2d,Ac,Qc,IP,OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/Ac/OOP_CHECK/IP_BET_22/OOP_RAISE_44,Turn,"['Fold', 'Call', 'Raise 90']",86,IP,AdKh,Raise 90
41,BTN/2.5bb/BB/call,QcAdKh,3d,Jc,OOP,OOP_BET_4/IP_RAISE_13/OOP_CALL/dealcards/3d/OOP_CHECK,Turn,"['Check', 'Bet 23', 'Bet 39']",31,IP,Qs4s,Check
42,CO/2.3bb/BB/call,TsKcAh,2d,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/2d/OOP_BET_6/IP_RAISE_17/OOP_CALL/dealcards/3c/OOP_CHECK,River,"['Check', 'Bet 29']",39,IP,QsQc,Bet 29
43,SB/3.0bb/BB/call,Jh4h5s,Kh,6h,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/Kh/OOP_CHECK,Turn,"['Check', 'Bet 12', 'Bet 20']",16,IP,9s9d,Check
44,BTN/2.5bb/BB/call,Ks7h2d,6h,4h,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/6h/OOP_CHECK/IP_BET_7/OOP_RAISE_22/IP_CALL/dealcards/4h/OOP_CHECK,River,"['Check', 'Bet 40', 'Raise 73']",51,IP,KcQs,Check
45,HJ/2.0bb/BB/call,Jh4h5s,2d,Qc,OOP,OOP_CHECK/IP_BET_3/OOP_RAISE_10,Flop,"['Fold', 'Call', 'Raise 26']",17,IP,AsJs,Call
46,CO/2.3bb/BTN/call,Ks7h2d,Jc,7c,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/Jc/OOP_CHECK/IP_BET_8/OOP_RAISE_25/IP_CALL/dealcards/7c/OOP_CHECK/IP_BET_45,River,"['Fold', 'Call', 'Raise 70']",103,OOP,AhAc,Raise 70
47,SB/3.0bb/BB/call,9dTs8s,Jh,Ac,OOP,OOP_CHECK/IP_CHECK/dealcards/Jh/OOP_BET_8/IP_CALL/dealcards/Ac/OOP_BET_11,River,"['Fold', 'Call', 'Raise 40']",33,IP,4h3h,Fold
48,SB/3.0bb/BB/10.0bb/SB/call,4s4h3h,Jh,8c,IP,OOP_CHECK/IP_BET_10/OOP_RAISE_23/IP_CALL/dealcards/Jh/OOP_CHECK,Turn,"['Check', 'Bet 40', 'Raise 67']",66,IP,Ac3s,Check
49,SB/3.0bb/BB/call,Td6h4h,Kh,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_BET_5/IP_CALL/dealcards/8c/OOP_CHECK,River,"['Check', 'Bet 12']",16,IP,Ks6s,Bet 12
50,BTN/2.5bb/BB/call,QcAdKh,3d,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/3d/OOP_BET_4/IP_RAISE_13/OOP_CALL/dealcards/8c/OOP_BET_16/IP_RAISE_58,River,"['Fold', 'Call', 'Raise 84']",105,OOP,JhTc,Raise 84
51,HJ/2.0bb/BTN/call,AcKs7d,Kd,Tc,OOP,OOP_BET_4/IP_CALL/dealcards/Kd/OOP_CHECK,Turn,"['Check', 'Bet 10', 'Bet 16']",13,IP,9s9d,Check
52,UTG/2.0bb/BB/call,TsKcAh,Jc,Jh,OOP,OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/Jc/OOP_CHECK,Turn,"['Check', 'Bet 8', 'Bet 13']",10,IP,6s6d,Check
53,HJ/2.0bb/BB/call,7d6c4h,Qs,7c,OOP,OOP_BET_1/IP_CALL/dealcards/Qs/OOP_CHECK/IP_BET_8,Turn,"['Fold', 'Call', 'Raise 23']",14,OOP,QhTd,Call
54,SB/3.0bb/BB/10.0bb/SB/call,Jh4h5s,Kh,8d,IP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Kh/OOP_CHECK/IP_BET_31,Turn,"['Fold', 'Call', 'Raise 62', 'Raise 86']",59,OOP,6s6d,Fold
55,SB/3.0bb/BB/call,Ad8d3d,9d,Ah,OOP,OOP_CHECK/IP_CHECK/dealcards/9d/OOP_BET_5/IP_RAISE_16/OOP_CALL/dealcards/Ah/OOP_CHECK/IP_BET_29/OOP_RAISE_81,River,"['Fold', 'Call']",148,IP,As4c,Fold
56,SB/3.0bb/BB/call,8h8cTc,As,4d,OOP,OOP_CHECK/IP_CHECK/dealcards/As/OOP_CHECK,Turn,"['Check', 'Bet 5', 'Bet 8']",6,IP,Ac4d,Check
57,BTN/2.5bb/BB/call,Ad9h8h,2h,5c,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/2h/OOP_CHECK,Turn,"['Check', 'Bet 10', 'Bet 16']",13,IP,Td9s,Check
58,CO/2.3bb/BB/call,6s8d7c,9s,Kc,OOP,OOP_CHECK/IP_CHECK/dealcards/9s/OOP_BET_6/IP_RAISE_17,Turn,"['Fold', 'Call', 'Raise 43']",28,OOP,Tc9c,Call
59,CO/2.3bb/BB/call,Jh4h5s,2d,Ac,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/2d/OOP_CHECK/IP_BET_16/OOP_CALL/dealcards/Ac/OOP_BET_23/IP_RAISE_77,River,"['Fold', 'Call']",141,OOP,KdTc,Fold
60,UTG/2.0bb/BB/call,7d6c4h,Qs,5s,OOP,OOP_CHECK/IP_CHECK/dealcards/Qs/OOP_CHECK/IP_BET_5/OOP_RAISE_14/IP_CALL/dealcards/5s/OOP_CHECK/IP_BET_24/OOP_RAISE_84,River,"['Fold', 'Call']",140,IP,8s8c,Call
61,BTN/2.5bb/BB/call,8h8cTc,As,Qd,OOP,OOP_BET_2/IP_CALL/dealcards/As/OOP_CHECK/IP_BET_11,Turn,"['Fold', 'Call', 'Raise 31']",20,OOP,4s4h,Fold
62,CO/2.3bb/BB/call,QcAdKh,Ts,Ac,OOP,OOP_BET_4/IP_RAISE_13/OOP_CALL/dealcards/Ts/OOP_CHECK/IP_BET_39/OOP_RAISE_84,Turn,"['Fold', 'Call']",154,IP,Js9s,Call
63,HJ/2.0bb/BB/call,JsKs5d,8h,3c,OOP,OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/8h/OOP_CHECK/IP_BET_13,Turn,"['Fold', 'Call', 'Raise 37']",23,OOP,5s4s,Call
64,HJ/2.0bb/BB/call,5c5dAh,3h,2c,OOP,OOP_CHECK/IP_BET_1/OOP_RAISE_5/IP_CALL/dealcards/3h/OOP_CHECK,Turn,"['Check', 'Bet 11', 'Bet 18']",14,IP,AcQc,Check
65,BTN/2.5bb/BB/call,4s4h3h,9s,Js,OOP,OOP_CHECK/IP_CHECK/dealcards/9s/OOP_CHECK/IP_BET_4/OOP_RAISE_13/IP_CALL/dealcards/Js/OOP_BET_16,River,"['Fold', 'Call', 'Raise 58', 'Raise 84']",47,IP,2s2d,Raise 84
66,SB/3.0bb/BB/call,Ks7h2d,6h,Th,OOP,OOP_CHECK/IP_CHECK/dealcards/6h/OOP_CHECK/IP_BET_8/OOP_CALL/dealcards/Th/OOP_CHECK,River,"['Check', 'Bet 17']",22,IP,7c4c,Check
67,HJ/2.0bb/BTN/call,9dTs8s,Jh,3c,OOP,OOP_BET_2/IP_CALL/dealcards/Jh/OOP_CHECK/IP_BET_7,Turn,"['Fold', 'Call', 'Raise 22']",16,OOP,AdQh,Call
68,BTN/2.5bb/BB/call,9s7s4c,6s,Ks,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/6s/OOP_CHECK,Turn,"['Check', 'Bet 10', 'Bet 16']",13,IP,Ad7c,Check
69,UTG/2.0bb/BB/call,Ks7h2d,6h,4h,OOP,OOP_CHECK/IP_BET_1/OOP_RAISE_5/IP_CALL/dealcards/6h/OOP_CHECK/IP_BET_11/OOP_RAISE_35/IP_CALL/dealcards/4h/OOP_CHECK/IP_RAISE_58,River,"['Fold', 'Call']",137,OOP,AhJh,Call
70,BTN/2.5bb/BB/call,Ad8d3d,Kh,Jc,OOP,OOP_BET_2/IP_CALL/dealcards/Kh/OOP_CHECK/IP_BET_7,Turn,"['Fold', 'Call', 'Raise 22']",16,OOP,Ac9c,Call
71,SB/3.0bb/BB/call,JcJh4s,Ts,Qc,OOP,OOP_BET_2/IP_RAISE_9/OOP_CALL/dealcards/Ts/OOP_CHECK/IP_BET_18/OOP_RAISE_58,Turn,"['Fold', 'Call', 'Raise 88']",100,IP,Ah6h,Fold
72,HJ/2.0bb/BB/call,AcKs7d,Kd,Ah,OOP,OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/Kd/OOP_CHECK/IP_BET_13/OOP_CALL/dealcards/Ah/OOP_CHECK,River,"['Check', 'Bet 27']",33,IP,Qs8s,Check
73,CO/2.3bb/BB/call,AcKs7d,Kd,Ah,OOP,OOP_CHECK/IP_CHECK/dealcards/Kd/OOP_CHECK/IP_CHECK/dealcards/Ah/OOP_CHECK/IP_BET_4,River,"['Fold', 'Call', 'Raise 13']",9,OOP,AdJd,Raise 13
74,HJ/2.0bb/BTN/call,9s7s4c,Ah,8c,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Ah/OOP_CHECK/IP_CHECK/dealcards/8c/OOP_CHECK/IP_BET_10,River,"['Fold', 'Call', 'Raise 32']",23,OOP,JdJc,Call
75,SB/3.0bb/BB/call,Ks7h2d,Jc,Qc,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/Jc/OOP_CHECK/IP_CHECK/dealcards/Qc/OOP_BET_5,River,"['Fold', 'Call', 'Raise 18']",15,IP,As4c,Fold
76,HJ/2.0bb/BTN/7.5bb/HJ/call,Td6h4h,8d,Qd,IP,OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/8d/OOP_BET_24,Turn,"['Fold', 'Call', 'Raise 48', 'Raise 89']",46,IP,AcQh,Raise 89
77,SB/3.0bb/BB/call,Qc8cAc,Kh,Jh,OOP,OOP_CHECK/IP_BET_2/OOP_RAISE_9/IP_CALL/dealcards/Kh/OOP_CHECK/IP_BET_18,Turn,"['Fold', 'Call', 'Raise 58', 'Raise 88']",42,OOP,Qd8d,Call
78,HJ/2.0bb/BB/call,8h8cTc,As,4d,OOP,OOP_CHECK/IP_CHECK/dealcards/As/OOP_BET_5/IP_RAISE_14/OOP_CALL/dealcards/4d/OOP_BET_16,River,"['Fold', 'Call', 'Raise 58', 'Raise 84']",48,IP,Ac2c,Fold
79,SB/3.0bb/BB/call,TsKcAh,Jc,Jh,OOP,OOP_CHECK/IP_CHECK/dealcards/Jc/OOP_BET_8/IP_RAISE_23/OOP_CALL/dealcards/Jh/OOP_CHECK,River,"['Check', 'Bet 39', 'Raise 74']",52,IP,6d6c,Check
80,HJ/2.0bb/BB/call,Qc8cAc,3c,Qh,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/3c/OOP_BET_8/IP_RAISE_23/OOP_CALL/dealcards/Qh/OOP_CHECK/IP_BET_39,River,"['Fold', 'Call', 'Raise 74']",90,OOP,QsTs,Raise 74
81,HJ/2.0bb/BB/call,5c2d3h,Td,Qc,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/Td/OOP_BET_8/IP_CALL/dealcards/Qc/OOP_CHECK/IP_BET_17,River,"['Fold', 'Call', 'Raise 54', 'Raise 89']",38,OOP,Ah5d,Call
82,CO/2.3bb/BB/call,Th4c5d,7s,3d,OOP,OOP_CHECK,Flop,"['Check', 'Bet 4']",5,IP,QsQh,Bet 4
83,HJ/2.0bb/BB/call,Th4c5d,7s,As,OOP,OOP_CHECK/IP_CHECK/dealcards/7s/OOP_CHECK/IP_BET_5,Turn,"['Fold', 'Call', 'Raise 14']",9,OOP,Kd6d,Raise 14
84,SB/3.0bb/BB/call,Ad9h8h,3s,2c,OOP,OOP_CHECK/IP_CHECK/dealcards/3s/OOP_CHECK/IP_BET_8/OOP_CALL/dealcards/2c/OOP_CHECK/IP_BET_17,River,"['Fold', 'Call', 'Raise 54', 'Raise 89']",39,OOP,Ac6d,Call
85,CO/2.3bb/BTN/call,9dTs8s,Jh,Ac,OOP,OOP_CHECK/IP_CHECK/dealcards/Jh/OOP_BET_5/IP_RAISE_16,Turn,"['Fold', 'Call', 'Raise 41']",27,OOP,KcQh,Raise 41
86,CO/2.3bb/SB/11.5bb/CO/call,Ad8d3d,Kh,5d,OOP,OOP_CHECK/IP_BET_5,Flop,"['Fold', 'Call', 'Raise 16']",29,OOP,As3s,Call
87,BTN/2.5bb/BB/call,JcJh4s,Ts,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/Ts/OOP_BET_4/IP_CALL/dealcards/8c/OOP_BET_7,River,"['Fold', 'Call', 'Raise 25']",20,IP,Th9d,Call
88,BTN/2.5bb/BB/call,Qc8cAc,3c,Qh,OOP,OOP_BET_2/IP_RAISE_8/OOP_CALL/dealcards/3c/OOP_CHECK,Turn,"['Check', 'Bet 16', 'Bet 26']",21,IP,QhQd,Bet 16
89,SB/3.0bb/BB/call,9dTs8s,Jh,Ac,OOP,OOP_CHECK/IP_CHECK/dealcards/Jh/OOP_BET_8,Turn,"['Fold', 'Call', 'Raise 23']",14,IP,As7s,Call
90,CO/2.3bb/BB/call,5c5dAh,5s,8c,OOP,OOP_BET_2/IP_CALL/dealcards/5s/OOP_BET_7/IP_RAISE_22,Turn,"['Fold', 'Call', 'Raise 57', 'Raise 95']",38,OOP,AdQc,Call
91,CO/2.3bb/BTN/call,Ad8d3d,Kh,Jc,OOP,OOP_CHECK/IP_BET_2/OOP_RAISE_9,Flop,"['Fold', 'Call', 'Raise 25']",17,IP,AhJh,Call
92,SB/3.0bb/BB/call,Td6h4h,Kh,2h,OOP,OOP_BET_5/IP_RAISE_16,Flop,"['Fold', 'Call', 'Raise 41']",27,OOP,Jd4d,Call
93,BTN/2.5bb/BB/call,JcJh4s,Ts,8c,OOP,OOP_BET_2/IP_RAISE_8/OOP_CALL/dealcards/Ts/OOP_CHECK/IP_BET_26,Turn,"['Fold', 'Call', 'Raise 89']",47,OOP,As8h,Fold
94,BTN/2.5bb/BB/call,Ad8d3d,9d,Td,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/9d/OOP_CHECK/IP_BET_11/OOP_CALL/dealcards/Td/OOP_CHECK/IP_BET_23/OOP_RAISE_84,River,"['Fold', 'Call']",136,IP,As4d,Fold
95,SB/3.0bb/BB/call,Qc8cAc,Kh,3s,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_BET_5/IP_RAISE_16,Turn,"['Fold', 'Call', 'Raise 41']",27,OOP,5s5d,Fold
96,SB/3.0bb/BB/call,Qc8cAc,Kh,3s,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_BET_8,Turn,"['Fold', 'Call', 'Raise 23']",14,IP,6c3c,Call
97,SB/3.0bb/BB/call,TsKcAh,Jc,Jh,OOP,OOP_CHECK/IP_CHECK/dealcards/Jc/OOP_CHECK/IP_CHECK/dealcards/Jh/OOP_BET_3,River,"['Fold', 'Call', 'Raise 11']",9,IP,KhQs,Raise 11
98,SB/3.0bb/BB/call,TsKcAh,Jc,Ks,OOP,OOP_CHECK/IP_CHECK/dealcards/Jc/OOP_BET_5/IP_RAISE_16/OOP_CALL/dealcards/Ks/OOP_CHECK/IP_BET_29/OOP_RAISE_81,River,"['Fold', 'Call']",148,IP,Qh3h,Call
99,SB/3.0bb/BB/call,Jh4h5s,2d,Qc,OOP,OOP_CHECK/IP_CHECK/dealcards/2d/OOP_CHECK/IP_BET_5/OOP_RAISE_16,Turn,"['Fold', 'Call', 'Raise 41']",27,IP,Ad9h,Raise 41
100,BTN/2.5bb/BB/call,Qc8cAc,Kh,Jh,OOP,OOP_BET_2,Flop,"['Fold', 'Call', 'Raise 8']",7,IP,As3h,Call
101,HJ/2.0bb/BTN/call,Ad8d3d,Kh,5d,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/5d/OOP_BET_7/IP_RAISE_25,River,"['Fold', 'Call', 'Raise 67', 'Raise 94']",45,OOP,Qc8c,Fold
102,CO/2.3bb/BB/call,JcJh4s,4d,3c,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/4d/OOP_CHECK/IP_BET_7/OOP_RAISE_22/IP_CALL/dealcards/3c/OOP_BET_27/IP_RAISE_73,River,"['Fold', 'Call']",151,OOP,JdTs,Call
103,HJ/2.0bb/BB/call,TsKcAh,Jc,Jh,OOP,OOP_BET_3/IP_RAISE_10/OOP_CALL/dealcards/Jc/OOP_BET_30,Turn,"['Fold', 'Call', 'Raise 88']",54,IP,7d7c,Fold
104,SB/3.0bb/BB/call,5c5dAh,5s,Td,OOP,OOP_BET_2/IP_CALL/dealcards/5s/OOP_BET_8/IP_RAISE_25,Turn,"['Fold', 'Call', 'Raise 65', 'Raise 95']",43,OOP,AsAd,Call
